,AAPL,ADA,AMZN,BNB,BTC,ETH,GOOGL,MSFT,TSLA,XRP
,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return
2018-03-30,,5.44810551522171,,95.20021309120722,4.732196495591526,4.226913769985471,,,,5.523625947622339
2018-03-31,,5.465411144044109,,97.53965190599772,4.57972641822863,4.336601408835314,,,,5.487767057201938
2018-04-01,,5.793626610050281,,103.64052371769876,4.631522213378353,4.341758447785727,,,,5.51333132322537
2018-04-02,,5.648827076220419,,103.83976139502651,4.539424635124666,4.158862476516337,,,,5.22951843556169
2018-04-03,,5.829804466452078,,118.23645033701105,4.7013355337427605,4.22141671807032,,,,5.381762577532745
2018-04-04,,6.439181182320326,,123.2345608972265,4.956267602619967,4.560272800763006,,,,6.033349844934539
2018-04-05,,5.799603090062322,,114.33628117954116,4.545230343412698,4.171570256908405,,,,5.413152567195047
2018-04-06,,5.594504968520909,,116.900215900588,4.551940856306261,4.217451214485632,,,,5.366536936995842
2018-04-07,,5.378471809704299,,114.72522107907812,4.401435373829265,4.05783596674743,,,,5.117538267646169
2018-04-08,,5.517957151436,,115.62060295817676,4.571233077723194,4.2062827169021695,,,,5.254576749333413
2018-04-09,,5.819253171369026,,112.451442645297,4.6378524754550865,4.35476162368669,,,,5.374792541917045
2018-04-10,,5.7074225035915145,,110.84208603926585,4.500859516886153,4.374414891628621,,,,5.3027731053969065
2018-04-11,,5.828144884644052,,112.10066628689228,4.534606831352034,4.527068813387656,,,,5.308471577215637
2018-04-12,,6.176521198732065,,113.1855694154918,4.5982075657272485,4.6882748025524945,,,,5.819097191241561
2018-04-13,,7.9287665081701775,,119.34598801741546,5.203299528207117,5.359844387312319,,,,6.732670135233832
2018-04-14,,7.410312168793755,,125.10242062312992,5.209511728746484,5.364086272794367,,,,6.838347297893184
2018-04-15,,7.433188339640337,,122.0187028027627,5.244017425560959,5.431228729704299,,,,6.794325569086113
2018-04-16,,8.234399887053133,,120.83084208783389,5.4832848046634055,5.7648663091677035,,,,7.321171449815262
2018-04-17,,9.54372685678162,,113.60876643194955,5.332513743592666,5.56283632638298,,,,7.139949776076643
2018-04-18,,9.069078960301924,,109.47792006533453,5.228025579403822,5.468022057623015,,,,7.07028397810375
2018-04-19,,9.704381262779052,,113.92022279407377,5.376615363446265,5.675426130161,,,,7.595512190934903
2018-04-20,,10.151139603058741,,115.35339685919864,5.496161957017793,6.213138202196723,,,,8.50600057736762
