,BTC,ETH,BNB,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
,Return %,Return %,Return %,Return %,Return %,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return
2019-12-06,1.8174604435384016,0.32570427877884545,33.13238842045203,1.7967809556097198,0.25369494054996444,1.5888938521338216,1.688735636748705,1.624732868607767,0.7603814195331167,1.1307376874265054
2019-12-09,1.8210428368423004,0.3326693534251884,33.15412512027662,1.814702041747729,0.25526306517465047,1.5666489860424797,1.6843955583412455,1.622794245808389,0.7686215825838194,1.1337768736790048
2019-12-10,1.781926813103091,0.32633174475273957,32.61868444762381,1.7784658641531692,0.24670074485190668,1.5758051842225569,1.6818360249214614,1.6132402674191106,0.7896973842327322,1.1336924518386577
2019-12-11,1.754499184268551,0.3222133830970227,31.497434331464024,1.7687252421430752,0.2403227194894313,1.5892460136022857,1.688179216440056,1.6220614649416383,0.7984355791161697,1.1348405888673796
2019-12-12,1.7456408524269889,0.31679987354729494,31.38863871159739,1.7543531713007419,0.2412204426662092,1.5932958704896276,1.705316961946435,1.632830560970718,0.8142367709002097,1.1384200748981013
2019-12-13,1.7464364197259097,0.32101200848645445,31.31097119396074,1.7340997914913685,0.2405681940598049,1.6149538008001953,1.7196726059095704,1.6333963791083357,0.8113164933355376,1.1370524410844762
2019-12-16,1.7530512142010513,0.32184031967462384,31.283186563156203,1.7455410890234928,0.24119687837301823,1.6425984760746601,1.7308010120825439,1.6410673889412806,0.8636324735832684,1.1487279816044957
2019-12-17,1.7018729533117645,0.3003675481814269,29.317598869416074,1.6584148280592472,0.22633696626487756,1.6458266228689182,1.7214531508972464,1.660963780829632,0.8579503831279762,1.143823072680323
2019-12-18,1.634332460337272,0.27558041435490965,26.925488861277895,1.4889845285950236,0.2106287840733316,1.6418941531377311,1.717892060921895,1.6548139869732323,0.890005522907633,1.141307301837976
2019-12-19,1.7940393465647477,0.3004096827445346,29.402262344335902,1.5683789602248215,0.2272608250112187,1.6435375733238988,1.7328041251936792,1.6624664453918292,0.9146580986280047,1.1451316112057046
2019-12-20,1.7639010388733973,0.2898585463974349,28.999790429614183,1.5244922313270781,0.21859509724478335,1.6401333457954086,1.7517224156877336,1.6571050866452244,0.918166959267727,1.1407247911395801
2019-12-23,1.8495183858505462,0.30183488513775214,30.126976272944013,1.5502414180454054,0.2267756972460395,1.6668976173987118,1.7517224156877336,1.663134296308361,0.9490222950867047,1.1402267022815316
2019-12-24,1.8117315617565777,0.29268353215034715,29.054996503552353,1.5038561196815028,0.21909009187998205,1.668482344006802,1.7513885635025443,1.6596188032893937,0.9626728948657532,1.1349925481800045
2019-12-26,1.7961680006456817,0.28648067988927317,28.52287080441819,1.492089674262137,0.2159536791508274,1.7015855220424667,1.7657442074656797,1.7334163295661886,0.975553809085121,1.1502222481786413
2019-12-27,1.7972411940073716,0.2878461368932335,28.6696945840926,1.4991399740381917,0.22084244906684847,1.700939892683615,1.7689714452558425,1.7343717274051165,0.9742860916927052,1.1436120180794547
2019-12-30,1.8184261840929028,0.30190874098968823,29.582898475029896,1.5237335668820968,0.22378181694727367,1.711035188112931,1.753725528798869,1.7131210822693528,0.9387900047050626,1.131007837315616
2019-12-31,1.7806509833368198,0.2954771472547389,29.051376270111433,1.4996744823452501,0.21910181552381422,1.7235369202434216,1.7549496534778959,1.714002274450888,0.9470075299451864,1.130737687426505
2020-01-02,1.7803047036315556,0.2984466389869148,28.986802485014007,1.4962727994630913,0.22209802346413407,1.7628616175552927,1.7874445995029782,1.7605384973431304,0.9740144379657588,1.155464844464203
2020-01-03,1.72340890866282,0.29057992701446456,27.549245196911624,1.456470172451094,0.21714410114643073,1.7457230927566862,1.7651877871570316,1.739167268014104,1.0028776464537974,1.1494202406953427
2020-01-06,1.7230795753101245,0.292462070294941,27.972203486771477,1.4640539797569176,0.21795867506343128,1.7596334707610348,1.7697504336879506,1.765055766736896,1.0221876988775596,1.1800569265573453
2020-01-07,1.8132669013050577,0.31152694010562193,29.75790435656644,1.653306397199416,0.23423984882094886,1.7513576762521186,1.7536142447371394,1.7687474981921705,1.0618491430117112,1.1777775368679706
2020-01-08,1.9100269108179375,0.30982214103499206,29.895728403240984,1.6167004475226514,0.23425060871240952,1.77953059372928,1.7815465442313023,1.7549359702100003,1.1140972098277053,1.1861606256144486
2020-01-09,1.8862023474327243,0.3038745873178763,28.956284507260214,1.569278326997366,0.2293436708467652,1.8173292580111382,1.803803356577249,1.7633583123240435,1.0896483744025434,1.198612847065662
2020-01-10,1.8362695444270634,0.2986465053353018,28.763136985822282,1.5376568188438537,0.22834892833109793,1.8214378084765575,1.795457051947519,1.7467640721896562,1.082426912827889,1.2063543298255013
2020-01-13,1.8727826361966182,0.3054530954232785,29.54694382801902,1.5645573562427708,0.23417472074995987,1.8603516507418865,1.8170461599230872,1.7543144978293381,1.1881681260417147,1.2156998275519375
2020-01-14,1.8588587601735183,0.3015989692766614,29.275049723351884,1.5414654427215129,0.23148719603515922,1.835230799324751,1.8042484928241675,1.7340378019468505,1.2177331066576973,1.2077304058231608
2020-01-15,2.0172784569205797,0.34865627743933664,32.14876716692968,1.6966039705449696,0.25869876817851245,1.8273658598623765,1.8159333193057896,1.7271552272237003,1.1737704785135636,1.2149991262770559
2020-01-16,2.0216281810613146,0.34920587704656764,34.096362309127876,1.6975815531092857,0.26575202369214007,1.8502563553125704,1.8492072537629798,1.7419221530447986,1.162428935413558,1.22425175997911
2020-01-17,1.9987253401756289,0.3440656711298594,32.84815976726593,1.6649982718840997,0.2600078965926266,1.87074041406159,1.859556671503845,1.7296596681606957,1.1556602300504806,1.249038012305051
2020-01-21,1.9851266418039013,0.34470872170503347,32.80480969943851,1.645839277856596,0.2645362051674113,1.858062601196867,1.852879627800061,1.7549637973315224,1.2387409948748738,1.25134272854653
2020-01-22,2.0066458460061614,0.34954345757657274,34.26960376304023,1.673829059743095,0.2794693377440766,1.8646949755196156,1.8439769028616824,1.7507526262745008,1.2893591393291903,1.2529636278811964
2020-01-23,1.9929884779265008,0.34654234210434653,33.66320941445417,1.6606985524548692,0.27763666407578586,1.8736750929654609,1.8553278771581154,1.7480812226083724,1.295335521322008,1.253402621451002
2020-01-24,1.935609659327128,0.33558367453069865,32.14127076927507,1.6059540881511214,0.2656319386949401,1.8682752837823382,1.8366321547875202,1.7268027503510865,1.278628817114814,1.2377676966186986
2020-01-27,1.9928902882178987,0.3501491840047871,33.076575357845535,1.6701067294382494,0.2706920511367323,1.8133380947018736,1.8059177537501139,1.6959146454614777,1.2632351059211933,1.208692814803119
2020-01-28,2.0586436618713644,0.3545123340437744,33.452908065897766,1.6776901674631177,0.2885892372873145,1.8646362819415383,1.841306085380169,1.719020432032053,1.2833374817152152,1.2245387942362906
2020-01-29,2.1609970463812105,0.3659026809095108,34.25222420935732,1.7295276915324127,0.318517181260342,1.9036675113630221,1.8700173733064398,1.72342639293973,1.3152341568208201,1.2297729483378177
2020-01-30,2.150816191353203,0.3628050401864766,33.85760911716047,1.708621121033697,0.3244405493465172,1.9009089131933836,1.9227660185663336,1.735187989636434,1.4506535397035225,1.227704613249311
2020-01-31,2.2048158852176565,0.385820066101063,35.23435569992355,1.767186222156778,0.34084894530232085,1.8166249350742092,1.8943885828252514,1.8632298514671122,1.4727480428284838,1.209579244126765
2020-02-03,2.1989742932703122,0.3967919506662704,35.78345448229407,1.832380719551627,0.3427596566441846,1.8116359809376288,1.9405714684430906,1.8590372318244386,1.7657492251505869,1.2516382049877453
2020-02-04,2.1920268218301393,0.39955111668937054,35.86100609109815,1.8673197338094116,0.3488910582010157,1.871444736998519,2.004448519875958,1.9012138723448744,2.008109625207794,1.2202417225626176
2020-02-05,2.1616613680861705,0.3974055305099587,35.18637875293709,1.9514889722244266,0.34417753266117884,1.8867050672986478,2.002000270517904,1.8921236793142986,1.6631999432283797,1.2207820223408399
2020-02-06,2.258730423622463,0.42900801519222304,37.249750258629774,2.030693255205825,0.3623946106662747,1.9087738526557574,2.043509225543094,1.9017333119466213,1.6954814611138251,1.2460410369727255
2020-02-07,2.2946293978087224,0.447682943926358,40.00951102239693,2.0736801121663935,0.36750741893350264,1.878370579211654,2.0464026111480673,1.9286792412872562,1.6934666959723073,1.2486918827596278
2020-02-10,2.3544103591833188,0.45769008415376594,43.90810414048968,2.1104037634313557,0.37590720752985735,1.887292003079422,2.099930244840069,1.9793524295791274,1.7460090543258264,1.2736385365822287
2020-02-11,2.294494737865754,0.44937948104864317,46.35589171690505,2.050816520039111,0.36811635407085075,1.8759054489324027,2.052523234543203,1.9950190989961092,1.7530267756052713,1.2748204423470897
2020-02-12,2.3726329364919887,0.47471738945464775,47.12778410387382,2.0977740094632,0.3842055187740333,1.920453874693164,2.055527904209906,2.0035527495962415,1.736976567904864,1.2820553940648458
2020-02-13,2.396290255291031,0.5293441813401055,48.4993268910163,2.2475165300486277,0.41109855361832404,1.9067782710011254,2.044399498036933,1.994156458228922,1.820079970539836,1.2776316896306519
2020-02-14,2.371318557436915,0.536637150221613,46.63252653876925,2.4165686417957173,0.4176564493338514,1.9072478196257445,2.0626500841606092,1.980242897467837,1.811092759740031,1.2821398159051929
2020-02-18,2.3188376817158236,0.5484676987710161,46.49214061811186,2.3565297258967313,0.40167402463549134,1.87232514066968,2.0835714877657994,1.9995363683898748,1.9432296600888002,1.2827392109716582
2020-02-19,2.416663122628881,0.577146498985672,47.38695402678985,2.4175797265864367,0.4155963112857213,1.8994415737414478,2.084127908074448,2.0130325223281273,2.0768380181251946,1.2873233169025118
2020-02-20,2.293751107989309,0.5305525267552038,43.88862678043975,2.2754719567488775,0.3865905911334414,1.8799553058197447,2.052300666419744,1.9971525116461424,2.036067321272679,1.2806708758831518
2020-02-21,2.291309106994406,0.5281055105417826,43.66966307235231,2.2200121269090975,0.3838925448350461,1.8374024617136158,1.9874220584313098,1.9441603965607566,2.039666733154717,1.252364232814732
2020-02-24,2.359657397831852,0.5556941802613728,45.53367589279433,2.28315847470175,0.3992803449170705,1.750125111112493,1.9017333308994149,1.8637585667760335,1.887518008254241,1.1986719423539058
2020-02-25,2.2942400213155043,0.5366962440998916,43.86658658862858,2.1931033683271868,0.3902361898040275,1.6908445972542991,1.8703512254916301,1.8298558570548564,1.8108211060130848,1.1703568571014513
2020-02-26,2.216993706032807,0.5024502524491937,40.58373703471776,2.057929977945896,0.37226347050431224,1.7176675624356796,1.893720878454874,1.8362097164690854,1.7630326878811244,1.1738603634758606
2020-02-27,2.088015290769052,0.45488598507762484,37.250446877888464,1.878128439942068,0.33294741589840116,1.6053867475735764,1.7602912884409239,1.7478215028074993,1.537107338304165,1.1101049896456472
2020-02-28,2.0831563863997764,0.4561389002822499,38.067487548831046,1.9064803942286326,0.3260972338181575,1.604447650324338,1.8029130840834118,1.7473113389129262,1.512183108856847,1.1306194968500192
2020-03-02,2.0867642556648414,0.4573744434085223,37.42615551150646,1.8965956265840034,0.31788978729919437,1.7538228065313706,1.9228773026280643,1.8124268032748043,1.6833928702647172,1.1703568571014513
2020-03-03,2.1691051427592054,0.48398810608562615,39.15799938531341,1.9807889418332927,0.335943291142102,1.6981226009358996,1.8307340995158452,1.7707232238202455,1.6876714164641207,1.1293278426927071
2020-03-04,2.1327765035286115,0.467862101020534,38.610844258291365,1.941301268850815,0.33493702216718585,1.7768893827157968,1.8979496728006044,1.8327220505716404,1.6967039028850832,1.166372146237063
2020-03-05,2.1332461864647687,0.46822718483801334,39.411028836474024,1.9417776222231153,0.3366606232377389,1.719252289043771,1.8503200943802784,1.7846738874100267,1.6401999276802643,1.1099445881489876
2020-03-06,2.2014970647835503,0.47647066538748645,41.03008774147697,1.9696018986562651,0.3502391226249093,1.6964204871716546,1.7980165853673036,1.7633954151527407,1.5925246986011987,1.093887554114948
2020-03-09,1.9886139101463753,0.3990707385055797,34.56311803480155,1.6934162452483845,0.30787840563557367,1.562246967686674,1.6761605377732454,1.670193109467819,1.3763788831943038,1.026392292757353
2020-03-10,1.958929853549165,0.40313979245991455,33.96238605908779,1.7347541499216796,0.2960193930334028,1.6747625568610867,1.7907831213548706,1.75479683460239,1.4608858300851648,1.0765219815555267
2020-03-11,1.95531918390559,0.40294342221942514,34.58088690103885,1.757237092890533,0.2944616013578667,1.6165972209863642,1.709657040353895,1.6889764164952838,1.4357578603426373,1.0222640647643744
2020-03-12,1.9624390209153697,0.3898342052624304,33.930443548199946,1.74333877236459,0.2849920739291645,1.456950688615783,1.5475161624136735,1.5551743405095162,1.2689624719976431,0.9383909663794204
2020-03-13,1.271851443406247,0.2219920741063001,19.4001006086194,1.1449954759712728,0.1686893759441906,1.6315053898180285,1.7675247524533566,1.6557137305691165,1.2374280018613,1.0251090807840753
2020-03-16,1.3166705664288667,0.22482957891281372,19.887050456827435,1.1934816576455594,0.17328290561666376,1.4216171546131764,1.5070087639440501,1.5668060773057833,1.007541035433041,0.9058463469255706
2020-03-17,1.2275339405377275,0.20026892709295566,18.00108103102629,1.1056256836364649,0.15767229421139706,1.4841258152656283,1.6310904927727028,1.6768994457546615,0.9738786111022856,0.9438868281860237
2020-03-18,1.3145929472166042,0.2115018743971875,19.788824081746835,1.1539319898329188,0.16644276335377498,1.4477944904357054,1.5624282266854574,1.6974544128523714,0.8177229937293529,0.9212026796847282
2020-03-19,1.3113890351740989,0.21237407237037373,19.864121176789734,1.1407772491376067,0.16733082047383957,1.4367014041790733,1.5881348449450259,1.744695589489842,0.9680833315940989,0.938492272587837
2020-03-20,1.5050429453891594,0.2468580321374807,23.463327960549265,1.2662437711469168,0.19444938935240919,1.3454915838467634,1.5284865878578886,1.7123790256954283,0.9678343156777315,0.9018025407729391
2020-03-23,1.434973933049211,0.22922886270628082,21.85836020619626,1.2132977054654204,0.18173229638132501,1.3169078113230601,1.513240671400915,1.7650093882010258,0.9831374756290368,0.8899159456520519
2020-03-24,1.5811003059943405,0.2536784359332327,23.667402565528953,1.273840538787089,0.19538841377666552,1.4490270555753313,1.6507877716988657,1.799579948838735,1.143209434232111,0.9539752381075153
2020-03-25,1.648157855480467,0.25964283494661794,24.349406640826388,1.307214150172664,0.20165577106128132,1.4410447289568022,1.6349854349332433,1.7492499617123034,1.220743935464685,0.9300078776329421
2020-03-26,1.6397646718478247,0.25488568603081974,24.140288051416846,1.3021248477020377,0.19673687328869946,1.5168768318328283,1.7372554876628687,1.8138552621796082,1.1956386035327362,0.9817584657657825
2020-03-27,1.6568241248594398,0.2596248109075798,25.83596142886909,1.4023795428457015,0.2015684304433701,1.4540747032899894,1.6659224040941094,1.7624771201425082,1.1643984249339183,0.9373019246389414
2020-03-30,1.5668541454903036,0.24756419064317575,23.970507587250374,1.30426360751403,0.1938228302518924,1.495571062990725,1.7831045210955188,1.8217025104488604,1.1367123825959802,0.9677359980841107
2020-03-31,1.696063660712543,0.26148113786791377,25.769015105012205,1.3555011456191965,0.20612216712272696,1.4925189969306991,1.7550609375396262,1.8085031791401778,1.1862212743319334,0.9809395739144146
2020-04-01,1.700980939136808,0.2632051496994043,26.64359778761804,1.3791889515486042,0.2074690704156988,1.4139869894631119,1.6927418629709756,1.7695266575947917,1.0901464062352784,0.9304131024666088
2020-04-02,1.7590140816219306,0.2690919414738958,26.917111368656652,1.3883735991037471,0.21441930026215109,1.4375818078502347,1.7277963424158416,1.7798505196795165,1.0288205773771637,0.9430172832304473
2020-04-03,1.8032753476970944,0.2794381310427241,27.6606951536643,1.412751747536661,0.21992693424908066,1.416921668366983,1.71188272158849,1.768497054098471,1.086637545595556,0.922477449473971
2020-04-06,1.7845111281320427,0.27682220314163225,27.518248057339502,1.3976720153352764,0.21547711424010138,1.5405303437980284,1.8391916882073052,1.8529059893823867,1.1686543333227428,0.9988707728041619
2020-04-07,1.9184766135760412,0.3291519657286692,30.382241601842107,1.5280487472657693,0.23743934382400653,1.5226874960624928,1.8193831252194126,1.8659012551332401,1.2347793780235747,0.9983389152099744
2020-04-08,1.8919632582503971,0.3188057779119249,29.4261099354338,1.5122257503614622,0.2376038287513498,1.561660031905899,1.8376337113430887,1.8950269756597782,1.2424535958098062,1.0189716129908328
2020-04-09,1.9302162480363592,0.334865723741282,30.259955521046585,1.5698965718111784,0.24409995649216057,1.5729291988967637,1.8377449954048184,1.8948043586876009,1.2971465461683167,1.0186085990773397
2020-04-13,1.9398627466746,0.3359992609477245,31.219304849144105,1.5644733148916654,0.2453088898968472,1.6038020209654864,1.8418625056888185,2.0117803018596296,1.4736082796304812,1.0218503977466726
2020-04-14,1.9242554600245267,0.33142561250147884,32.92733880865749,1.5672885417464462,0.24283227091620083,1.6847991587123252,1.9330041522454702,2.1179407704667086,1.6070355351822447,1.0681304506250135
2020-04-15,1.924996255122222,0.33473728577880657,34.10289074568274,1.5492784689947618,0.24226890084667732,1.6694214412560413,1.9127504530106587,2.1405363931427104,1.6521753294764792,1.0614357986854797
2020-04-16,1.8602476893109605,0.324068545646643,31.92144802890499,1.512559798851279,0.23324307068218217,1.682686189901538,1.9701730288632011,2.233766525949154,1.6869922821467562,1.0615455470779311
2020-04-17,1.9810463347817848,0.36330867445408493,34.28676264835909,1.569731639571538,0.2505288218768484,1.6598543880294219,1.9875333424930397,2.20298045383846,1.7066419017292012,1.0797553380408245
2020-04-20,1.9495906269945449,0.34955440403965077,33.23782703430027,1.5353054304400597,0.24771068829235043,1.6254012576979766,1.948138784640714,2.220242544889379,1.6895956303633244,1.0646860395388476
2020-04-21,1.875448682378037,0.3313940941880843,31.1276602400402,1.4823691066687992,0.235737003512782,1.5751595548637054,1.867569123948387,2.159495938606482,1.5545837280710408,1.023327779952749
