,Crypto Data,Crypto Data,Crypto Data,Crypto Data,Crypto Data,Stock Data,Stock Data,Stock Data,Stock Data,Stock Data
,BTC,ETH,LTC,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
,close,close,close,close,close,close,close,close,close,close
2020-07-10 00:00:00.000,9235.716302064242,241.97512857897888,44.37474281180175,0.20236856149258253,0.12394192954780256,383.68,213.67,3200.0,1544.65,1539.01
2020-07-11 00:00:00.000,9282.913638839902,240.95495378293265,44.28281411194997,0.1987890313083414,0.11844083928628071,,,,,
2020-07-12 00:00:00.000,9234.314674712627,239.10202554671358,44.6220981468918,0.20141619522058504,0.12542533761849164,,,,,
2020-07-13 00:00:00.000,9297.479635872663,241.7715226007061,44.70795067916056,0.20084690446497824,0.1268783734434242,381.91,207.07,3104.0,1497.06,1512.23
2020-07-14 00:00:00.000,9240.76251972468,239.63878681174097,43.93322457494403,0.19860646792657077,0.12428834021463325,388.23,208.35,3084.0,1516.8,1520.86
2020-07-15 00:00:00.000,9247.060695963813,240.25147066847245,43.855785705904374,0.19887149161484804,0.13208128069379993,390.9,208.04,3008.87,1546.01,1516.88
2020-07-16 00:00:00.000,9203.371435179699,238.66359720631723,43.315160781214196,0.19723002143999407,0.13044721590639485,386.09,203.92,2999.9,1500.64,1514.92
2020-07-17 00:00:00.000,9136.483376363976,233.837074562722,42.0600186536875,0.19404640279005098,0.12597459085630233,385.31,202.88,2961.97,1500.84,1516.85
2020-07-18 00:00:00.000,9156.276583115488,232.78147743826054,41.90869696008941,0.19426776570870785,0.12261975823084438,,,,,
2020-07-19 00:00:00.000,9168.402736564132,235.6811447764246,42.43676622752216,0.19947076313006376,0.12263502818711443,,,,,
2020-07-20 00:00:00.000,9202.615839500108,238.89523167867932,42.6780708564458,0.19952293195919907,0.12398989746577355,393.43,211.6,3196.84,1643.0,1563.84
2020-07-21 00:00:00.000,9163.159654576915,236.06009844538684,41.97381683615026,0.19467002770335812,0.11785394775122499,388.0,208.75,3138.29,1568.36,1555.92
2020-07-22 00:00:00.000,9384.379751903267,245.23373502634252,43.74215194645075,0.19905021723545974,0.12295235527435235,389.09,211.75,3099.91,1592.33,1564.85
2020-07-23 00:00:00.000,9514.304987626969,263.7624639660021,44.961055227571144,0.20343764059404754,0.1237827759439597,371.38,202.54,2986.55,1513.07,1516.75
2020-07-24 00:00:00.000,9589.81771944117,274.7236202591814,44.90566835773515,0.20818695285280153,0.12405530009127375,370.46,201.3,3008.91,1417.0,1508.21
2020-07-25 00:00:00.000,9535.93879573746,279.42705624758224,44.16220830472597,0.2042966234637715,0.12196350601214086,,,,,
2020-07-26 00:00:00.000,9691.825138917147,305.0381394111965,48.99348063807221,0.21426161557790874,0.14336838253068768,,,,,
2020-07-27 00:00:00.000,9925.751397476346,310.51799095173624,48.13585082246852,0.21528330980922147,0.14835594634623203,379.24,203.85,3055.21,1539.6,1529.43
2020-07-28 00:00:00.000,10962.258481207355,320.47619130968184,52.93577317675548,0.22387632064128649,0.13793351401607168,373.01,202.02,3000.33,1476.49,1503.65
2020-07-29 00:00:00.000,10904.916526918994,316.4067660520556,55.766754056046274,0.22995643899629792,0.14825503834148304,380.16,204.06,3033.53,1499.11,1523.51
2020-07-30 00:00:00.000,11093.612240442404,317.5390729161191,55.218302555414574,0.2426965515770819,0.13964887973262488,384.76,203.9,3051.88,1487.49,1538.37
2020-07-31 00:00:00.000,11116.307163685275,334.7419220365616,57.082118678829374,0.24435884316605191,0.1408995400024149,425.04,205.01,3164.68,1430.76,1487.95
2020-08-01 00:00:00.000,11325.5515272739,346.00350607288686,58.15475289592702,0.25923265617918223,0.13914532295246507,,,,,
2020-08-02 00:00:00.000,11812.094307268515,387.94242117124685,61.692187131237034,0.2913018478979388,0.14481025934661704,,,,,
2020-08-03 00:00:00.000,11066.306240590267,370.7323024312388,56.68803163560441,0.28630975029015604,0.13373233004057936,435.75,216.54,3111.89,1485.0,1482.76
2020-08-04 00:00:00.000,11230.907762749297,386.24744771780877,58.50725338170284,0.31009269952720975,0.13701513906207086,438.66,213.29,3138.83,1487.0,1473.3
2020-08-05 00:00:00.000,11181.917508034885,389.3830083498991,57.532997961295386,0.3006844248898732,0.1427635983040935,440.25,212.94,3205.03,1485.02,1479.09
2020-08-06 00:00:00.000,11719.26352395155,400.18436250317995,58.846762761266596,0.3023822645129705,0.14254911094068604,455.61,216.35,3225.0,1489.58,1504.95
2020-08-07 00:00:00.000,11768.127742240009,394.5417454611831,59.1744019805959,0.30336700769757885,0.143830276386743,444.45,212.48,3167.46,1452.71,1498.37
2020-08-08 00:00:00.000,11571.487980683192,379.1351558498163,57.06346535010003,0.2938976678070039,0.13864502806327936,,,,,
2020-08-09 00:00:00.000,11739.131006414418,391.47843864211467,57.92464082156637,0.29388630365412904,0.14572113584329605,,,,,
2020-08-10 00:00:00.000,11682.851469154939,389.62293111291143,56.94602590066505,0.28776096348798696,0.14490166488746986,450.91,208.25,3148.16,1418.57,1496.82
2020-08-11 00:00:00.000,11862.938012702563,395.20991365718925,58.213972167902895,0.29418889600186643,0.14330600013150213,437.5,203.38,3080.67,1374.39,1480.54
