date,BTC,ETH,LTC,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
00:00.0,2777.367994,224.8679566,42.74834016,0.174492,,155.57,72.15,986.92,347.09,940.3
00:00.0,2845.897162,221.6749595,43.40667948,0.174084,,156.39,72.68,987.58,356.91,945.79
00:00.0,3237.070695,253.1556661,46.80635713,0.184159,,,,,,
00:00.0,3189.732453,263.2220862,45.04970041,0.180304,,,,,,
00:00.0,3356.709738,268.496629,45.61671649,0.178999,,158.81,72.4,992.27,355.17,945.75
00:00.0,3410.45008,295.1470983,48.68083406,0.191757,,160.08,72.79,989.84,365.22,944.19
00:00.0,3330.897825,297.0696048,48.11294347,0.183649,,161.06,72.47,982.01,363.53,940.08
00:00.0,3367.905387,296.7767241,46.44733435,0.180664,,155.32,71.41,956.92,355.4,923.59
00:00.0,3562.587663,306.8264332,46.51484864,0.179888,,157.48,72.5,967.99,357.87,930.09
00:00.0,3800.140625,308.6255313,46.05202451,0.17429,,,,,,
00:00.0,4023.254522,297.1598027,45.49699129,0.168459,,,,,,
00:00.0,4175.695291,296.3972895,45.17536672,0.17043,,159.85,73.59,983.3,363.8,938.93
00:00.0,4149.308759,288.4507672,43.18263755,0.162467,,161.6,73.22,982.74,362.33,938.08
00:00.0,4262.558791,300.0393294,43.86004205,0.160204,,160.95,73.65,978.18,362.91,944.27
00:00.0,4286.917435,300.5703438,43.82756023,0.160787,,157.86,72.4,960.57,351.92,927.66
00:00.0,4097.685802,296.1146354,46.02803741,0.158533,,157.5,72.49,958.47,347.46,926.18
00:00.0,4115.211988,296.6220895,45.92085891,0.155775,,,,,,
00:00.0,4001.228632,295.1715773,46.30764109,0.159505,,,,,,
00:00.0,3935.229933,322.2012201,47.63030339,0.193611,,157.21,72.15,953.29,337.86,920.87
00:00.0,4008.416685,312.1744706,46.2697021,0.24087,,159.78,73.16,966.9,341.35,940.4
00:00.0,4069.080239,316.7889202,53.34111202,0.248587,,159.98,72.72,958,352.77,942.58
00:00.0,4167.289177,321.7852984,49.37388731,0.220536,,159.27,72.69,952.45,352.93,936.89
00:00.0,4199.892032,329.025281,50.59337009,0.218694,,159.86,72.82,945.26,348.05,930.5
00:00.0,4123.513371,329.8657826,51.0552495,0.212467,,,,,,
00:00.0,4116.468739,343.3413371,60.5734344,0.203322,,,,,,
00:00.0,4216.242773,344.2011314,61.78499022,0.223638,,161.47,72.83,946.02,345.66,928.13
00:00.0,4394.063436,366.8095899,62.58837804,0.218175,,162.91,73.05,954.06,347.36,935.75
00:00.0,4553.806527,378.9063307,64.70913445,0.22681,,163.35,74.01,967.59,353.18,943.63
00:00.0,4702.938163,382.9344508,72.07096119,0.254085,,164,74.77,980.6,355.9,955.24
00:00.0,4863.193049,386.343057,85.74900643,0.249645,,164.05,73.94,978.25,355.4,951.99
00:00.0,4556.597777,346.3987755,78.59617272,0.22457,,,,,,
00:00.0,4632.462331,349.9292404,78.61096175,0.228848,,,,,,
00:00.0,4317.185188,299.7173319,67.71412285,0.206462,,,,,,
00:00.0,4447.875592,318.9728041,73.17978579,0.216226,,162.08,73.61,965.27,349.59,941.48
00:00.0,4592.250278,333.20633,80.32849215,0.22686,,161.91,73.4,967.8,344.53,942.02
00:00.0,4584.820275,329.4156625,79.07488176,0.223218,,161.26,74.34,979.47,350.61,949.89
00:00.0,4285.207939,304.4751083,72.45067652,0.211528,,158.63,73.98,965.9,343.4,941.41
00:00.0,4245.607341,299.6944445,69.88536259,0.210045,,,,,,
00:00.0,4132.664642,292.7796568,65.72967307,0.212904,,,,,,
00:00.0,4164.976212,296.4753988,67.48372303,0.214914,,161.5,74.76,977.96,363.69,943.29
00:00.0,4130.956285,290.586532,64.73901109,0.20922,,160.86,74.68,982.58,362.75,946.65
00:00.0,3883.652001,277.3336579,61.90524501,0.200845,,159.65,75.21,999.6,366.23,950.44
00:00.0,3100.668155,214.3117136,41.97670147,0.164177,,158.28,74.77,992.21,377.64,940.13
00:00.0,3587.943122,246.9218573,48.40544194,0.181167,,159.88,75.31,986.79,379.81,935.29
00:00.0,3606.275197,244.8056118,48.64087023,0.178489,,,,,,
00:00.0,3553.432316,249.666546,48.72887672,0.178507,,,,,,
00:00.0,4012.285825,287.9610957,53.67176571,0.189366,,158.67,75.16,974.19,385,929.75
00:00.0,3898.934732,280.4456323,51.94908938,0.183936,,158.73,75.44,969.86,375.1,936.86
00:00.0,3858.020951,279.4176492,50.27791059,0.18244,,156.07,74.94,973.21,373.91,947.54
00:00.0,3628.058588,257.4650745,46.3084211,0.171347,,153.39,74.21,964.65,366.48,947.55
00:00.0,3622.183039,263.4697737,47.66782053,0.173483,,151.89,74.41,955.1,351.09,943.26
00:00.0,3763.411406,283.222159,48.62027892,0.177651,,,,,,
00:00.0,3672.30508,280.6810447,47.00506997,0.175581,,,,,,
00:00.0,3866.705153,288.0857009,50.76190277,0.181323,,150.55,73.26,939.79,344.99,934.28
00:00.0,3852.935205,283.9294531,51.21643126,0.187749,,153.14,73.26,938.6,345.25,937.43
00:00.0,4134.212415,302.1518454,55.25331774,0.203149,,154.23,73.85,950.87,340.97,959.9
00:00.0,4134.884951,294.313838,53.22902373,0.196986,,153.28,73.87,956.4,339.6,964.81
00:00.0,4130.415246,288.1145969,51.79012111,0.193591,,154.12,74.49,961.35,341.1,973.72
00:00.0,4297.79117,297.2689356,54.38356599,0.196932,,,,,,
00:00.0,4347.578735,299.674889,53.99049575,0.203369,,,,,,
00:00.0,4383.325497,295.8400297,53.15837673,0.202849,,153.81,74.61,959.19,341.53,967.47
00:00.0,4319.069212,292.2107207,52.07234798,0.203454,,154.48,74.26,957.1,348.14,972.08
00:00.0,4231.464187,293.0357028,51.39603139,0.213899,,153.48,74.69,965.45,355.01,966.78
00:00.0,4290.380404,293.7193461,51.40244889,0.236733,,155.39,75.97,980.85,355.33,985.19
00:00.0,4347.54724,307.7089806,51.91891052,0.233753,,155.3,76,989.58,356.88,993.64
00:00.0,4405.016201,309.5982491,52.21251891,0.238596,,,,,,
00:00.0,4562.321931,307.0581369,52.94602111,0.279843,,,,,,
00:00.0,4758.72165,295.9010451,49.72308039,0.249302,,155.84,76.29,990.99,342.94,992.31
00:00.0,4769.477347,299.9170114,50.57011903,0.259381,,155.9,76.29,987.2,355.59,987.8
00:00.0,4807.925895,303.2474665,50.708732,0.264808,,156.55,76.42,995,354.6,1005.65
00:00.0,5331.619302,302.0199977,59.33263137,0.250161,,156,77.12,1000.93,355.68,1005.65
00:00.0,5610.493162,337.9526134,59.20621028,0.259367,,156.99,77.49,1002.94,355.57,1007.87
00:00.0,5679.216222,335.3382448,63.91116374,0.258943,,,,,,
00:00.0,5684.047104,335.391355,65.29738471,0.265509,,,,,,
00:00.0,5728.932751,331.9672147,64.4988055,0.255936,,159.88,77.65,1006.34,350.6,1009.35
00:00.0,5643.859077,317.8982125,59.83183002,0.226969,,160.47,77.59,1009.13,355.75,1011
00:00.0,5592.782224,314.4565542,60.79644893,0.219275,0.026845355,159.76,77.61,997,359.65,1012.74
00:00.0,5696.380141,308.4746839,59.80946071,0.213848,0.02682995,155.98,77.91,986.61,351.81,1001.84
00:00.0,5952.771359,302.3564969,59.97333457,0.210527,0.030299606,156.25,78.81,982.91,345.1,1005.07
00:00.0,6043.966731,300.693846,58.08103649,0.207555,0.028587963,,,,,
00:00.0,6003.464019,295.4882479,56.54888451,0.203929,0.027796038,,,,,
00:00.0,5959.983041,289.4140251,54.87817133,0.198939,0.026045126,156.17,78.83,966.3,337.02,985.54
00:00.0,5550.081585,298.7557343,55.84174923,0.207547,0.027417403,157.1,78.86,975.9,337.34,988.49
00:00.0,5704.874807,298.4839668,56.25756698,0.204953,0.027269302,156.41,78.63,972.91,325.84,991.46
00:00.0,5883.053184,295.7078546,55.73368265,0.203689,0.0265914,157.41,78.76,972.43,326.17,991.42
00:00.0,5775.516665,297.9291297,55.26493544,0.202493,0.026509621,163.05,83.81,1100.95,320.87,1033.67
00:00.0,5734.307454,296.4649529,54.43146186,0.20161,0.025976413,,,,,
00:00.0,6123.549771,303.7411304,56.85374883,0.202587,0.028352035,,,,,
00:00.0,6104.388709,306.2494615,56.14246067,0.202776,0.028385407,166.72,83.89,1110.85,320.08,1033.13
