date,AAPL,MSFT,AMZN,TSLA,GOOGL
11/07/2018,187.88,101.98,1755,318.96,1171.46
12/07/2018,191.03,104.19,1796.62,316.71,1201.26
13/07/2018,191.33,105.43,1813.03,318.87,1204.42
16/07/2018,190.91,104.91,1822.49,310.1,1196.51
17/07/2018,191.45,105.95,1843.93,322.69,1213.08
18/07/2018,190.4,105.12,1842.92,323.85,1212.91
19/07/2018,191.88,104.4,1812.97,320.23,1199.1
20/07/2018,191.44,106.27,1813.7,313.58,1197.88
23/07/2018,191.61,107.97,1802,303.2,1211
24/07/2018,193,107.66,1829.24,297.43,1258.15
25/07/2018,194.82,110.83,1863.61,308.74,1275.94
26/07/2018,194.21,109.62,1808,306.65,1285.5
27/07/2018,190.98,107.68,1817.27,297.18,1252.89
30/07/2018,189.91,105.37,1779.22,290.17,1230.04
31/07/2018,190.29,106.08,1777.44,298.14,1227.22
1/08/2018,201.5,106.28,1797.17,300.84,1232.99
2/08/2018,207.39,107.57,1834.33,349.54,1241.13
3/08/2018,207.99,108.04,1823.29,348.17,1238.16
6/08/2018,209.07,108.13,1847.75,341.99,1237.67
7/08/2018,207.11,108.88,1862.48,379.57,1255.84
8/08/2018,207.25,109.49,1886.52,370.34,1261.33
9/08/2018,208.88,109.67,1898.52,352.45,1264.46
10/08/2018,207.53,109,1886.3,355.49,1252.51
13/08/2018,208.87,108.21,1896.2,356.41,1248.64
14/08/2018,209.75,109.56,1919.65,347.64,1258.14
15/08/2018,210.24,107.66,1882.62,338.69,1232.22
16/08/2018,213.32,107.64,1886.52,335.45,1224.06
17/08/2018,217.58,107.58,1882.22,305.5,1215.85
20/08/2018,215.46,106.87,1876.71,308.44,1221.95
21/08/2018,215.04,105.98,1883.42,321.9,1217.41
22/08/2018,215.05,107.06,1904.9,321.64,1221.75
23/08/2018,215.49,107.56,1902.9,320.1,1221.16
24/08/2018,216.16,108.4,1905.39,322.82,1236.75
27/08/2018,217.94,109.6,1927.68,319.27,1256.27
28/08/2018,219.7,110.26,1932.82,311.86,1245.86
29/08/2018,222.98,112.02,1998.1,305.01,1264.65
30/08/2018,225.03,111.95,2002.38,303.15,1254.44
31/08/2018,227.63,112.33,2012.71,301.66,1231.8
4/09/2018,228.36,111.71,2039.51,288.95,1211.31
5/09/2018,226.87,108.49,1994.82,280.74,1199.1
6/09/2018,223.1,108.74,1958.31,280.95,1183.99
7/09/2018,221.3,108.21,1952.07,263.24,1177.59
10/09/2018,218.33,109.38,1939.01,285.5,1175.06
11/09/2018,223.85,111.24,1987.15,279.44,1189.99
12/09/2018,221.07,111.71,1990,290.54,1171.6
13/09/2018,226.41,112.91,1989.87,289.46,1182.14
14/09/2018,223.84,113.37,1970.19,295.2,1177.98
17/09/2018,217.88,112.14,1908.03,294.84,1159.83
18/09/2018,218.24,113.21,1941.05,284.96,1167.11
19/09/2018,218.37,111.7,1926.42,299.02,1174.27
20/09/2018,220.03,113.57,1944.3,298.33,1191.57
21/09/2018,217.66,114.26,1915.01,299.1,1172.12
24/09/2018,220.79,114.67,1934.36,299.68,1179.56
25/09/2018,222.19,114.45,1974.55,300.99,1193.89
26/09/2018,220.42,113.98,1974.85,309.58,1194.06
27/09/2018,224.95,114.41,2012.98,307.52,1207.36
28/09/2018,225.74,114.37,2003,264.77,1207.08
1/10/2018,227.26,115.61,2004.36,310.7,1208.53
2/10/2018,229.28,115.15,1971.31,301.02,1207.64
3/10/2018,232.07,115.17,1952.76,294.8,1211.53
4/10/2018,227.99,112.79,1909.42,281.83,1177.07
5/10/2018,224.29,112.13,1889.65,261.95,1167.83
8/10/2018,223.77,110.85,1864.42,250.56,1155.92
9/10/2018,226.87,112.26,1870.32,262.8,1145.17
10/10/2018,216.36,106.16,1755.25,256.88,1092.16
11/10/2018,214.45,105.91,1719.36,252.23,1090.74
12/10/2018,222.11,109.57,1788.61,258.78,1120.54
15/10/2018,217.36,107.6,1760.95,259.59,1102.44
16/10/2018,222.15,111,1819.96,276.59,1133.08
17/10/2018,221.19,110.71,1831.73,271.78,1127.59
18/10/2018,216.02,108.5,1770.72,263.91,1097.91
19/10/2018,219.31,108.66,1764.03,260,1105.18
22/10/2018,220.65,109.63,1789.3,260.95,1111.37
23/10/2018,222.73,108.1,1768.7,294.14,1114.91
24/10/2018,215.09,102.32,1664.2,288.5,1057.12
25/10/2018,219.8,108.3,1782.17,314.86,1103.59
26/10/2018,216.3,106.96,1642.81,330.9,1083.75
29/10/2018,212.24,103.85,1538.88,334.85,1034.73
30/10/2018,213.3,103.73,1530.42,329.9,1049.51
31/10/2018,218.86,106.81,1598.01,337.32,1090.58
1/11/2018,222.22,105.92,1665.53,344.28,1085.98
2/11/2018,207.48,106.16,1665.53,346.41,1071.49
5/11/2018,201.59,107.51,1627.8,341.4,1055.73
6/11/2018,203.77,107.72,1642.81,341.06,1069.57
7/11/2018,209.95,111.96,1755.49,348.16,1108.24
8/11/2018,208.49,111.75,1754.91,351.4,1094.63
9/11/2018,204.47,109.57,1712.43,350.51,1077.02
12/11/2018,194.17,106.87,1636.85,331.28,1049.36
13/11/2018,192.23,106.94,1631.17,338.73,1047.97
14/11/2018,186.8,104.97,1599.01,344,1054.58
15/11/2018,191.41,107.28,1619.44,348.44,1071.05
16/11/2018,193.53,108.29,1593.41,354.31,1068.27
19/11/2018,185.86,104.62,1512.29,353.47,1027.42
20/11/2018,176.98,101.71,1495.46,347.49,1030.45
21/11/2018,176.78,103.11,1516.73,338.19,1043.43
23/11/2018,172.29,103.07,1502.06,325.83,1030.1
26/11/2018,174.62,106.47,1581.33,346,1055.94
27/11/2018,174.24,107.14,1581.42,343.92,1052.28
28/11/2018,180.94,111.12,1677.75,347.87,1091.79
29/11/2018,179.55,110.19,1673.57,341.17,1094.58
30/11/2018,178.58,110.89,1690.17,350.48,1109.65
3/12/2018,184.82,112.09,1772.36,358.49,1116.36
4/12/2018,176.69,108.52,1668.4,359.7,1062.47
6/12/2018,174.72,109.19,1699.19,363.06,1078.08
7/12/2018,168.49,104.82,1629.13,357.965,1046.58
10/12/2018,169.6,107.59,1641.03,365.15,1053.18
11/12/2018,168.63,108.59,1643.24,366.76,1061.65
12/12/2018,169.1,109.08,1663.54,366.6,1073.73
13/12/2018,170.95,109.45,1658.38,376.79,1073.54
14/12/2018,165.48,106.03,1591.91,365.71,1051.71
17/12/2018,163.94,102.89,1520.91,348.42,1025.65
18/12/2018,166.07,103.97,1551.48,337.03,1043.41
19/12/2018,160.89,103.69,1495.08,332.97,1035.46
20/12/2018,156.83,101.51,1460.83,315.38,1023.58
21/12/2018,150.73,98.23,1377.45,319.77,991.25
24/12/2018,146.83,94.13,1343.96,295.39,984.67
26/12/2018,157.17,100.56,1470.9,326.09,1047.85
27/12/2018,156.15,101.18,1461.64,316.13,1052.9
28/12/2018,156.23,100.39,1478.02,333.87,1046.68
31/12/2018,157.74,101.57,1501.97,332.8,1044.96
2/01/2019,157.92,101.12,1539.13,310.12,1054.68
3/01/2019,142.19,97.4,1500.28,300.36,1025.47
4/01/2019,148.26,101.93,1575.39,317.69,1078.07
7/01/2019,147.93,102.06,1629.51,334.96,1075.92
8/01/2019,150.75,102.8,1656.58,335.35,1085.37
9/01/2019,153.31,104.27,1659.42,338.53,1081.65
10/01/2019,153.8,103.6,1656.22,344.97,1078.83
11/01/2019,152.29,102.8,1640.56,347.26,1064.47
14/01/2019,150,102.05,1617.21,334.4,1051.51
15/01/2019,153.07,105.01,1674.56,344.43,1086.51
16/01/2019,154.94,105.38,1683.78,346.05,1089.51
17/01/2019,155.86,106.12,1693.22,347.31,1099.12
18/01/2019,156.82,107.71,1696.2,302.26,1107.3
22/01/2019,153.3,105.68,1632.17,298.92,1078.63
23/01/2019,153.92,106.71,1640.02,287.59,1084.41
24/01/2019,152.7,106.2,1654.93,291.51,1084
25/01/2019,157.76,107.17,1670.57,297.04,1101.51
28/01/2019,156.3,105.08,1637.89,296.38,1079.86
29/01/2019,154.68,102.94,1593.88,297.46,1070.06
30/01/2019,165.25,106.38,1670.43,308.77,1097.99
31/01/2019,166.44,104.43,1718.73,307.02,1125.89
1/02/2019,166.52,102.78,1626.23,312.21,1118.62
4/02/2019,171.25,105.74,1633.31,312.89,1141.42
5/02/2019,174.18,107.22,1658.81,321.35,1151.87
6/02/2019,174.24,106.03,1640.26,317.22,1122.89
7/02/2019,170.94,105.27,1614.37,307.51,1105.91
8/02/2019,170.41,105.67,1588.22,305.8,1102.38
11/02/2019,169.43,105.25,1591,312.84,1102.12
12/02/2019,170.89,106.89,1638.01,311.81,1127.58
13/02/2019,170.18,106.81,1640,308.17,1128.63
14/02/2019,170.8,106.9,1622.65,303.77,1129.2
15/02/2019,170.42,108.22,1607.95,307.88,1119.63
19/02/2019,170.93,108.17,1627.58,305.64,1126.51
20/02/2019,172.03,107.15,1622.1,302.56,1120.59
21/02/2019,171.06,109.41,1619.44,291.23,1104.21
22/02/2019,172.97,110.97,1631.56,294.71,1116.56
25/02/2019,174.23,111.59,1633,298.77,1117.33
26/02/2019,174.33,112.36,1636.4,297.86,1122.01
27/02/2019,174.87,112.17,1641.09,314.74,1122.89
28/02/2019,173.15,112.03,1639.83,319.88,1126.55
1/03/2019,174.97,112.53,1671.73,294.79,1148.52
4/03/2019,175.85,112.26,1696.17,285.36,1153.42
5/03/2019,175.53,111.7,1692.43,276.54,1169.19
6/03/2019,174.52,111.75,1668.95,276.24,1164.94
7/03/2019,172.5,110.39,1625.95,276.59,1150.85
8/03/2019,172.91,110.51,1620.8,284.14,1149.97
11/03/2019,178.9,112.83,1670.62,290.92,1179.26
12/03/2019,180.91,113.62,1673.1,283.36,1197.25
13/03/2019,181.71,114.5,1690.81,288.96,1199.06
14/03/2019,183.73,114.59,1686.22,289.96,1192.53
15/03/2019,186.12,115.91,1712.36,275.43,1190.3
18/03/2019,188.02,117.57,1742.15,269.49,1188.55
19/03/2019,186.53,117.65,1761.85,267.47,1202.46
20/03/2019,188.16,117.52,1797.27,273.6,1226.43
21/03/2019,195.09,120.22,1819.26,274.02,1236.13
22/03/2019,191.05,117.05,1764.77,264.53,1207.65
25/03/2019,188.74,117.66,1774.26,260.42,1197.38
26/03/2019,186.79,117.91,1783.76,267.77,1189.84
27/03/2019,188.47,116.77,1765.7,274.83,1178.01
28/03/2019,188.72,116.93,1773.42,278.62,1172.27
29/03/2019,189.95,117.94,1780.75,279.86,1176.89
1/04/2019,191.24,119.02,1814.19,289.18,1198.98
2/04/2019,194.02,119.19,1813.98,285.88,1205.54
3/04/2019,195.35,119.97,1820.7,291.81,1210.81
4/04/2019,195.69,119.36,1818.86,267.78,1219.45
5/04/2019,197,119.89,1837.28,274.96,1211.45
8/04/2019,200.1,119.93,1849.86,273.2,1208.28
9/04/2019,199.5,119.28,1835.84,272.31,1202.69
10/04/2019,200.62,120.19,1847.33,276.06,1206.45
11/04/2019,198.95,120.33,1844.07,268.42,1209.59
12/04/2019,198.87,120.95,1843.06,267.7,1222.73
15/04/2019,199.23,121.05,1844.87,266.38,1226.53
16/04/2019,199.25,120.77,1863.04,273.36,1231.91
17/04/2019,203.13,121.77,1864.82,271.23,1240.14
