date,BTC,ETH,BNB,XRP,ADA
27/09/2017,4134.212415,302.1518454,0.115055132,0.203149,
28/09/2017,4134.884951,294.313838,0.139552367,0.196986,
29/09/2017,4130.415246,288.1145969,0.132173288,0.193591,
30/09/2017,4297.79117,297.2689356,0.171911647,0.196932,
1/10/2017,4347.578735,299.674889,0.101168157,0.203369,
2/10/2017,4383.325497,295.8400297,0.10787364,0.202849,
3/10/2017,4319.069212,292.2107207,0.124432384,0.203454,
4/10/2017,4231.464187,293.0357028,0.12880577,0.213899,
5/10/2017,4290.380404,293.7193461,0.13059918,0.236733,
6/10/2017,4347.54724,307.7089806,0.135643474,0.233753,
7/10/2017,4405.016201,309.5982491,0.129375326,0.238596,
8/10/2017,4562.321931,307.0581369,0.129938851,0.279843,
9/10/2017,4758.72165,295.9010451,,0.249302,
10/10/2017,4769.477347,299.9170114,0.14007955,0.259381,
11/10/2017,4807.925895,303.2474665,0.216452824,0.264808,
12/10/2017,5331.619302,302.0199977,0.239709604,0.250161,
13/10/2017,5610.493162,337.9526134,0.229889724,0.259367,
14/10/2017,5679.216222,335.3382448,0.11216452,0.258943,
15/10/2017,5684.047104,335.391355,0.109732214,0.265509,
16/10/2017,5728.932751,331.9672147,0.183861634,0.255936,
17/10/2017,5643.859077,317.8982125,0.109290786,0.226969,
18/10/2017,5592.782224,314.4565542,0.108499996,0.219275,0.026845355
19/10/2017,5696.380141,308.4746839,0.039817697,0.213848,0.02682995
20/10/2017,5952.771359,302.3564969,0.101137585,0.210527,0.030299606
21/10/2017,6043.966731,300.693846,0.098516658,0.207555,0.028587963
22/10/2017,6003.464019,295.4882479,0.044005391,0.203929,0.027796038
23/10/2017,5959.983041,289.4140251,0.05965943,0.198939,0.026045126
24/10/2017,5550.081585,298.7557343,,0.207547,0.027417403
25/10/2017,5704.874807,298.4839668,0.086999341,0.204953,0.027269302
26/10/2017,5883.053184,295.7078546,0.045946645,0.203689,0.0265914
27/10/2017,5775.516665,297.9291297,0.04672393,0.202493,0.026509621
28/10/2017,5734.307454,296.4649529,0.04674182,0.20161,0.025976413
29/10/2017,6123.549771,303.7411304,0.049374219,0.202587,0.028352035
30/10/2017,6104.388709,306.2494615,1.299018594,0.202776,0.028385407
31/10/2017,6368.651641,303.542117,1.28913197,0.200793,0.030251095
1/11/2017,6714.788987,292.3305387,1.256013208,0.194131,0.023096036
2/11/2017,7059.793861,287.0696687,1.296947847,0.205095,0.021320577
3/11/2017,7234.738382,305.8432727,1.467717592,0.208601,0.022789426
4/11/2017,7390.535227,299.9549104,1.625944467,0.204145,0.021802079
5/11/2017,7416.267951,297.5173231,1.536939286,0.202402,0.022026316
6/11/2017,7103.046081,301.3707946,1.60531591,0.206486,0.022303565
7/11/2017,7166.741372,295.2351134,1.812623539,0.209832,0.022288566
8/11/2017,7461.824435,308.9339866,2.033702471,0.216912,0.025146348
9/11/2017,7186.292775,322.3295205,2.03466411,0.217419,0.032769495
10/11/2017,6656.839694,301.3549334,1.807016907,0.206187,0.027293043
11/11/2017,6365.397852,316.258342,1.691563345,0.210117,0.027498519
12/11/2017,5866.513129,314.1661277,1.524949742,0.196401,0.024521651
13/11/2017,6423.091402,315.3439564,1.673953735,0.203654,0.025114287
14/11/2017,6652.21678,338.9376274,1.582466769,0.20995,0.026228305
15/11/2017,7297.668836,334.2869325,1.522436864,0.212758,0.026014553
16/11/2017,7814.944404,330.0213156,1.595697778,0.223418,0.027106272
17/11/2017,7783.542465,333.351255,1.514546139,0.227181,0.025916753
18/11/2017,7827.631469,348.7472155,1.672407529,0.228036,0.02652772
19/11/2017,8011.14743,353.4357296,1.601295075,0.230733,0.027721211
20/11/2017,8220.509966,365.786816,1.620708536,0.239804,0.030002736
21/11/2017,8114.13368,361.0558226,1.571719276,0.232854,0.028598216
22/11/2017,8257.123895,379.4090573,1.609842607,0.238634,0.028731549
23/11/2017,8117.664348,412.5576115,1.559993177,0.245077,0.027940667
24/11/2017,8278.128436,475.002015,1.691021047,0.24466,0.028511937
25/11/2017,8743.159378,467.44639,1.850554616,0.253218,0.030614788
26/11/2017,9342.988641,468.9980994,1.843204429,0.249117,0.038547874
27/11/2017,9831.40293,484.3626242,1.969923794,0.253946,0.050469038
28/11/2017,10257.06742,474.1828947,1.988897155,0.298582,0.120725683
29/11/2017,9875.892308,428.3454433,1.788056215,0.240521,0.09263587
30/11/2017,10406.18772,454.1609815,2.003252168,0.250447,0.124064711
1/12/2017,10995.72355,469.8634796,2.093489952,0.255387,0.13084911
2/12/2017,11162.54503,469.8570505,2.118893738,0.255487,0.135290046
3/12/2017,11256.70183,461.8804819,2.262906971,0.251969,0.131928545
4/12/2017,11634.98496,472.2527355,2.574523406,0.252982,0.13631823
5/12/2017,12174.25374,467.016663,2.657449647,0.245933,0.131266071
6/12/2017,13876.47358,448.3282222,2.347370394,0.23525,0.128998006
7/12/2017,18491.18155,451.8255819,3.000450616,0.222823,0.113499776
8/12/2017,16908.00495,467.8816626,2.952039595,0.251643,0.11977111
9/12/2017,15266.42639,482.0355189,2.671253207,0.244248,0.12206968
10/12/2017,15808.5099,446.6910581,2.572175784,0.238779,0.11075318
11/12/2017,17106.50515,509.0008762,2.782347133,0.250616,0.120168305
12/12/2017,17249.92021,661.8413323,2.700899079,0.379427,0.133573902
13/12/2017,16525.04449,709.8831936,2.818283776,0.478039,0.134376502
14/12/2017,16865.36166,704.6218437,3.196990578,0.865028,0.217011359
15/12/2017,17978.63056,693.0970641,4.040700365,0.76057,0.217634409
